,gene-symbol,GO_ID,GO_term,gene-score
8088,DPYSL3,GO:0051491,positive regulation of filopodium assembly,2.0
8089,DPYSL3,GO:0051764,actin crosslink formation,2.0
8091,DPYSL3,GO:0070382,exocytic vesicle,2.0
8092,DPYSL3,GO:0071345,cellular response to cytokine stimulus,2.0
8093,DRD2,GO:0000139,Golgi membrane,2.0
8094,DRD2,GO:0001591,"dopamine neurotransmitter receptor activity, coupled via Gi/Go",2.0
8096,DRD2,GO:0001659,temperature homeostasis,2.0
8097,DRD2,GO:0001666,response to hypoxia,2.0
8098,DRD2,GO:0001669,acrosomal vesicle,2.0
8099,DRD2,GO:0001933,negative regulation of protein phosphorylation,2.0
8100,DRD2,GO:0001975,response to amphetamine,2.0
8101,DRD2,GO:0001976,nervous system process involved in regulation of systemic arterial blood pressure,2.0
8102,DRD2,GO:0002027,regulation of heart rate,2.0
8103,DRD2,GO:0002028,regulation of sodium ion transport,2.0
8104,DRD2,GO:0002031,G protein-coupled receptor internalization,2.0
8105,DRD2,GO:0002052,positive regulation of neuroblast proliferation,2.0
8106,DRD2,GO:0002092,positive regulation of receptor internalization,2.0
8107,DRD2,GO:0004930,G protein-coupled receptor activity,2.0
8108,DRD2,GO:0005515,protein binding,2.0
8109,DRD2,GO:0005886,plasma membrane,2.0
8112,DRD2,GO:0005929,cilium,2.0
8113,DRD2,GO:0006914,autophagy,2.0
8114,DRD2,GO:0007194,negative regulation of adenylate cyclase activity,2.0
8115,DRD2,GO:0007195,adenylate cyclase-inhibiting dopamine receptor signaling pathway,2.0
8117,DRD2,GO:0007270,neuron-neuron synaptic transmission,2.0
8118,DRD2,GO:0007405,neuroblast proliferation,2.0
8119,DRD2,GO:0007409,axonogenesis,2.0
8120,DRD2,GO:0007416,synapse assembly,2.0
8121,DRD2,GO:0007608,sensory perception of smell,2.0
8122,DRD2,GO:0007616,long-term memory,2.0
8123,DRD2,GO:0007625,grooming behavior,2.0
8124,DRD2,GO:0007626,locomotory behavior,2.0
8125,DRD2,GO:0007628,adult walking behavior,2.0
8126,DRD2,GO:0008104,protein localization,2.0
8127,DRD2,GO:0008285,negative regulation of cell population proliferation,2.0
8128,DRD2,GO:0008306,associative learning,2.0
8129,DRD2,GO:0008542,visual learning,2.0
8130,DRD2,GO:0009410,response to xenobiotic stimulus,2.0
8131,DRD2,GO:0009416,response to light stimulus,2.0
8132,DRD2,GO:0009636,response to toxic substance,2.0
8133,DRD2,GO:0010039,response to iron ion,2.0
8134,DRD2,GO:0014059,regulation of dopamine secretion,2.0
8135,DRD2,GO:0014069,postsynaptic density,2.0
8136,DRD2,GO:0014854,response to inactivity,2.0
8137,DRD2,GO:0016055,Wnt signaling pathway,2.0
8138,DRD2,GO:0016328,lateral plasma membrane,2.0
8139,DRD2,GO:0021756,striatum development,2.0
8140,DRD2,GO:0021769,orbitofrontal cortex development,2.0
8141,DRD2,GO:0021853,cerebral cortex GABAergic interneuron migration,2.0
8142,DRD2,GO:0021984,adenohypophysis development,2.0
8143,DRD2,GO:0030139,endocytic vesicle,2.0
8144,DRD2,GO:0030336,negative regulation of cell migration,2.0
8145,DRD2,GO:0030424,axon,2.0
8146,DRD2,GO:0030425,dendrite,2.0
8147,DRD2,GO:0030432,peristalsis,2.0
8148,DRD2,GO:0030672,synaptic vesicle membrane,2.0
8149,DRD2,GO:0031223,auditory behavior,2.0
8150,DRD2,GO:0032147,activation of protein kinase activity,2.0
8151,DRD2,GO:0032228,"regulation of synaptic transmission, GABAergic",2.0
8152,DRD2,GO:0032467,positive regulation of cytokinesis,2.0
8153,DRD2,GO:0032922,circadian regulation of gene expression,2.0
8154,DRD2,GO:0033602,negative regulation of dopamine secretion,2.0
8155,DRD2,GO:0034776,response to histamine,2.0
8156,DRD2,GO:0035094,response to nicotine,2.0
8157,DRD2,GO:0035240,dopamine binding,2.0
8158,DRD2,GO:0035255,ionotropic glutamate receptor binding,2.0
8159,DRD2,GO:0035810,positive regulation of urine volume,2.0
8160,DRD2,GO:0035815,positive regulation of renal sodium excretion,2.0
8161,DRD2,GO:0036126,sperm flagellum,2.0
8162,DRD2,GO:0040018,positive regulation of multicellular organism growth,2.0
8163,DRD2,GO:0042220,response to cocaine,2.0
8164,DRD2,GO:0042321,"negative regulation of circadian sleep/wake cycle, sleep",2.0
8165,DRD2,GO:0042417,dopamine metabolic process,2.0
8166,DRD2,GO:0042734,presynaptic membrane,2.0
8167,DRD2,GO:0042756,drinking behavior,2.0
8168,DRD2,GO:0042802,identical protein binding,2.0
8169,DRD2,GO:0043197,dendritic spine,2.0
8170,DRD2,GO:0043204,perikaryon,2.0
8171,DRD2,GO:0043266,regulation of potassium ion transport,2.0
8173,DRD2,GO:0043278,response to morphine,2.0
8174,DRD2,GO:0043473,pigmentation,2.0
8175,DRD2,GO:0043491,protein kinase B signaling,2.0
8176,DRD2,GO:0043666,regulation of phosphoprotein phosphatase activity,2.0
8177,DRD2,GO:0043679,axon terminus,2.0
8178,DRD2,GO:0044877,protein-containing complex binding,2.0
8179,DRD2,GO:0045211,postsynaptic membrane,2.0
8180,DRD2,GO:0045745,positive regulation of G protein-coupled receptor signaling pathway,2.0
8181,DRD2,GO:0045776,negative regulation of blood pressure,2.0
8182,DRD2,GO:0045824,negative regulation of innate immune response,2.0
8183,DRD2,GO:0045944,positive regulation of transcription by RNA polymerase II,2.0
8184,DRD2,GO:0046676,negative regulation of insulin secretion,2.0
8185,DRD2,GO:0046717,acid secretion,2.0
8186,DRD2,GO:0048148,behavioral response to cocaine,2.0
8187,DRD2,GO:0048149,behavioral response to ethanol,2.0
8188,DRD2,GO:0048169,regulation of long-term neuronal synaptic plasticity,2.0
8189,DRD2,GO:0048678,response to axon injury,2.0
8190,DRD2,GO:0048755,branching morphogenesis of a nerve,2.0
8191,DRD2,GO:0050482,arachidonic acid secretion,2.0
8192,DRD2,GO:0050673,epithelial cell proliferation,2.0
8193,DRD2,GO:0050680,negative regulation of epithelial cell proliferation,2.0
8194,DRD2,GO:0050709,negative regulation of protein secretion,2.0
8195,DRD2,GO:0051209,release of sequestered calcium ion into cytosol,2.0
8196,DRD2,GO:0051481,negative regulation of cytosolic calcium ion concentration,2.0
8197,DRD2,GO:0051482,positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway,2.0
8198,DRD2,GO:0051583,dopamine uptake involved in synaptic transmission,2.0
8199,DRD2,GO:0051584,regulation of dopamine uptake involved in synaptic transmission,2.0
8200,DRD2,GO:0051586,positive regulation of dopamine uptake involved in synaptic transmission,2.0
8201,DRD2,GO:0051823,regulation of synapse structural plasticity,2.0
8202,DRD2,GO:0051898,negative regulation of protein kinase B signaling,2.0
8204,DRD2,GO:0051967,"negative regulation of synaptic transmission, glutamatergic",2.0
8206,DRD2,GO:0060079,excitatory postsynaptic potential,2.0
8207,DRD2,GO:0060124,positive regulation of growth hormone secretion,2.0
8208,DRD2,GO:0060134,prepulse inhibition,2.0
8209,DRD2,GO:0060158,phospholipase C-activating dopamine receptor signaling pathway,2.0
8211,DRD2,GO:0060160,negative regulation of dopamine receptor signaling pathway,2.0
8212,DRD2,GO:0060170,ciliary membrane,2.0
8213,DRD2,GO:0060548,negative regulation of cell death,2.0
8214,DRD2,GO:0070374,positive regulation of ERK1 and ERK2 cascade,2.0
8215,DRD2,GO:0071880,adenylate cyclase-activating adrenergic receptor signaling pathway,2.0
8216,DRD2,GO:0090325,regulation of locomotion involved in locomotory behavior,2.0
8217,DRD2,GO:0097730,non-motile cilium,2.0
8218,DRD2,GO:0098691,dopaminergic synapse,2.0
8219,DRD2,GO:0098978,glutamatergic synapse,2.0
8220,DRD2,GO:0098982,GABA-ergic synapse,2.0
8221,DRD2,GO:0099170,postsynaptic modulation of chemical synaptic transmission,2.0
8222,DRD2,GO:0099171,presynaptic modulation of chemical synaptic transmission,2.0
8223,DRD2,GO:1900168,positive regulation of glial cell-derived neurotrophic factor production,2.0
8224,DRD2,GO:1900273,positive regulation of long-term synaptic potentiation,2.0
8225,DRD2,GO:1901363,heterocyclic compound binding,2.0
8226,DRD2,GO:1901386,negative regulation of voltage-gated calcium channel activity,2.0
8227,DRD2,GO:1990384,hyaloid vascular plexus regression,2.0
8228,DRD2,GO:2001223,negative regulation of neuron migration,2.0
8229,DRD3,GO:0000122,negative regulation of transcription by RNA polymerase II,2.0
8230,DRD3,GO:0001591,"dopamine neurotransmitter receptor activity, coupled via Gi/Go",2.0
8233,DRD3,GO:0001963,"synaptic transmission, dopaminergic",2.0
8234,DRD3,GO:0002031,G protein-coupled receptor internalization,2.0
8235,DRD3,GO:0004930,G protein-coupled receptor activity,2.0
8236,DRD3,GO:0005515,protein binding,2.0
8237,DRD3,GO:0005886,plasma membrane,2.0
8241,DRD3,GO:0006874,cellular calcium ion homeostasis,2.0
8242,DRD3,GO:0006914,autophagy,2.0
8243,DRD3,GO:0007186,G protein-coupled receptor signaling pathway,2.0
8244,DRD3,GO:0007191,adenylate cyclase-activating dopamine receptor signaling pathway,2.0
8245,DRD3,GO:0007194,negative regulation of adenylate cyclase activity,2.0
8246,DRD3,GO:0007195,adenylate cyclase-inhibiting dopamine receptor signaling pathway,2.0
8248,DRD3,GO:0007611,learning or memory,2.0
8249,DRD3,GO:0007612,learning,2.0
8250,DRD3,GO:0007626,locomotory behavior,2.0
8251,DRD3,GO:0008284,positive regulation of cell population proliferation,2.0
8252,DRD3,GO:0008542,visual learning,2.0
8253,DRD3,GO:0009410,response to xenobiotic stimulus,2.0
8254,DRD3,GO:0014059,regulation of dopamine secretion,2.0
8256,DRD3,GO:0019904,protein domain specific binding,2.0
8257,DRD3,GO:0030139,endocytic vesicle,2.0
8258,DRD3,GO:0031748,D1 dopamine receptor binding,2.0
8259,DRD3,GO:0032416,negative regulation of sodium:proton antiporter activity,2.0
8260,DRD3,GO:0032467,positive regulation of cytokinesis,2.0
8261,DRD3,GO:0032922,circadian regulation of gene expression,2.0
8262,DRD3,GO:0034776,response to histamine,2.0
8263,DRD3,GO:0035176,social behavior,2.0
8264,DRD3,GO:0035483,gastric emptying,2.0
8265,DRD3,GO:0035815,positive regulation of renal sodium excretion,2.0
8266,DRD3,GO:0042220,response to cocaine,2.0
8267,DRD3,GO:0042417,dopamine metabolic process,2.0
8268,DRD3,GO:0042995,cell projection,2.0
8269,DRD3,GO:0043066,negative regulation of apoptotic process,2.0
8270,DRD3,GO:0043266,regulation of potassium ion transport,2.0
8271,DRD3,GO:0043278,response to morphine,2.0
8272,DRD3,GO:0045177,apical part of cell,2.0
8273,DRD3,GO:0045187,"regulation of circadian sleep/wake cycle, sleep",2.0
8274,DRD3,GO:0045471,response to ethanol,2.0
8275,DRD3,GO:0045776,negative regulation of blood pressure,2.0
8276,DRD3,GO:0045840,positive regulation of mitotic nuclear division,2.0
8277,DRD3,GO:0045944,positive regulation of transcription by RNA polymerase II,2.0
8278,DRD3,GO:0046717,acid secretion,2.0
8279,DRD3,GO:0048148,behavioral response to cocaine,2.0
8281,DRD3,GO:0048715,negative regulation of oligodendrocyte differentiation,2.0
8282,DRD3,GO:0050482,arachidonic acid secretion,2.0
8283,DRD3,GO:0050709,negative regulation of protein secretion,2.0
8284,DRD3,GO:0050883,"musculoskeletal movement, spinal reflex action",2.0
8285,DRD3,GO:0051481,negative regulation of cytosolic calcium ion concentration,2.0
8286,DRD3,GO:0051482,positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway,2.0
8287,DRD3,GO:0051584,regulation of dopamine uptake involved in synaptic transmission,2.0
8288,DRD3,GO:0051898,negative regulation of protein kinase B signaling,2.0
8289,DRD3,GO:0051967,"negative regulation of synaptic transmission, glutamatergic",2.0
8290,DRD3,GO:0060134,prepulse inhibition,2.0
8291,DRD3,GO:0060158,phospholipase C-activating dopamine receptor signaling pathway,2.0
8292,DRD3,GO:0060161,positive regulation of dopamine receptor signaling pathway,2.0
8293,DRD3,GO:0071880,adenylate cyclase-activating adrenergic receptor signaling pathway,2.0
8294,DRD3,GO:0090325,regulation of locomotion involved in locomotory behavior,2.0
8295,DRD3,GO:0098839,postsynaptic density membrane,2.0
8296,DRD3,GO:0098978,glutamatergic synapse,2.0
8297,DRD3,GO:0098982,GABA-ergic synapse,2.0
8298,DRD3,GO:0099149,regulation of postsynaptic neurotransmitter receptor internalization,2.0
8299,DRD3,GO:1901386,negative regulation of voltage-gated calcium channel activity,2.0
8333,DST,GO:0003779,actin binding,2.0
8334,DST,GO:0005178,integrin binding,2.0
8335,DST,GO:0005198,structural molecule activity,2.0
8336,DST,GO:0005509,calcium ion binding,2.0
8337,DST,GO:0005515,protein binding,2.0
8338,DST,GO:0005604,basement membrane,2.0
8339,DST,GO:0005634,nucleus,2.0
8340,DST,GO:0005635,nuclear envelope,2.0
8341,DST,GO:0005654,nucleoplasm,2.0
8342,DST,GO:0005737,cytoplasm,2.0
8344,DST,GO:0005789,endoplasmic reticulum membrane,2.0
8345,DST,GO:0005829,cytosol,2.0
8347,DST,GO:0005882,intermediate filament,2.0
8348,DST,GO:0005925,focal adhesion,2.0
8350,DST,GO:0005938,cell cortex,2.0
8351,DST,GO:0007010,cytoskeleton organization,2.0
8352,DST,GO:0007155,cell adhesion,2.0
8353,DST,GO:0007229,integrin-mediated signaling pathway,2.0
8354,DST,GO:0008017,microtubule binding,2.0
8355,DST,GO:0008022,protein C-terminus binding,2.0
8356,DST,GO:0008090,retrograde axonal transport,2.0
8357,DST,GO:0009611,response to wounding,2.0
8358,DST,GO:0009925,basal plasma membrane,2.0
8359,DST,GO:0015630,microtubule cytoskeleton,2.0
8360,DST,GO:0016020,membrane,2.0
8361,DST,GO:0030011,maintenance of cell polarity,2.0
8362,DST,GO:0030018,Z disc,2.0
8363,DST,GO:0030056,hemidesmosome,2.0
8365,DST,GO:0031252,cell leading edge,2.0
8366,DST,GO:0031410,cytoplasmic vesicle,2.0
8367,DST,GO:0031581,hemidesmosome assembly,2.0
8368,DST,GO:0031673,H zone,2.0
8369,DST,GO:0035371,microtubule plus-end,2.0
8370,DST,GO:0042060,wound healing,2.0
8371,DST,GO:0045104,intermediate filament cytoskeleton organization,2.0
8374,DST,GO:0048870,cell motility,2.0
8375,DST,GO:0051010,microtubule plus-end binding,2.0
8376,DST,GO:1904115,axon cytoplasm,2.0
8377,DUSP15,GO:0004725,protein tyrosine phosphatase activity,2.0
8379,DUSP15,GO:0005515,protein binding,2.0
8380,DUSP15,GO:0005829,cytosol,2.0
8382,DUSP15,GO:0005886,plasma membrane,2.0
8384,DUSP15,GO:0006470,protein dephosphorylation,2.0
8385,DUSP15,GO:0007165,signal transduction,2.0
8386,DUSP15,GO:0008138,protein tyrosine/serine/threonine phosphatase activity,2.0
8387,DUSP15,GO:0016311,dephosphorylation,2.0
8389,DUSP15,GO:0016791,phosphatase activity,2.0
8390,DUSP15,GO:0017018,myosin phosphatase activity,2.0
8391,DUSP15,GO:0048713,regulation of oligodendrocyte differentiation,2.0
8392,DVL3,GO:0000785,chromatin,2.0
8393,DVL3,GO:0001934,positive regulation of protein phosphorylation,2.0
8394,DVL3,GO:0002020,protease binding,2.0
8395,DVL3,GO:0005102,signaling receptor binding,2.0
8396,DVL3,GO:0005109,frizzled binding,2.0
8399,DVL3,GO:0005515,protein binding,2.0
8400,DVL3,GO:0005829,cytosol,2.0
8403,DVL3,GO:0008013,beta-catenin binding,2.0
8404,DVL3,GO:0031267,small GTPase binding,2.0
8405,DVL3,GO:0032880,regulation of protein localization,2.0
8406,DVL3,GO:0035556,intracellular signal transduction,2.0
8407,DVL3,GO:0035567,non-canonical Wnt signaling pathway,2.0
8409,DVL3,GO:0038031,non-canonical Wnt signaling pathway via JNK cascade,2.0
8410,DVL3,GO:0043507,positive regulation of JUN kinase activity,2.0
8411,DVL3,GO:0043547,positive regulation of GTPase activity,2.0
8412,DVL3,GO:0045893,positive regulation of DNA-templated transcription,2.0
8413,DVL3,GO:0045944,positive regulation of transcription by RNA polymerase II,2.0
8414,DVL3,GO:0050821,protein stabilization,2.0
8415,DVL3,GO:0060070,canonical Wnt signaling pathway,2.0
8420,DVL3,GO:0060071,"Wnt signaling pathway, planar cell polarity pathway",2.0
8422,DVL3,GO:0090179,planar cell polarity pathway involved in neural tube closure,2.0
8423,DVL3,GO:0150012,positive regulation of neuron projection arborization,2.0
8424,DYDC1,GO:0005515,protein binding,2.0
8425,DYDC1,GO:0044666,MLL3/4 complex,2.0
8426,DYDC1,GO:0048188,Set1C/COMPASS complex,2.0
8427,DYDC1,GO:0051568,histone H3-K4 methylation,2.0
8428,DYDC2,GO:0005515,protein binding,2.0
8429,DYDC2,GO:0044666,MLL3/4 complex,2.0
8430,DYDC2,GO:0048188,Set1C/COMPASS complex,2.0
8431,DYDC2,GO:0051568,histone H3-K4 methylation,2.0
8472,DLX2,GO:0000122,negative regulation of transcription by RNA polymerase II,2.0
8473,DLX2,GO:0000785,chromatin,2.0
8474,DLX2,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,2.0
8475,DLX2,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",2.0
8477,DLX2,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",2.0
8478,DLX2,GO:0003682,chromatin binding,2.0
8479,DLX2,GO:0003700,DNA-binding transcription factor activity,2.0
8480,DLX2,GO:0003727,single-stranded RNA binding,2.0
8481,DLX2,GO:0005515,protein binding,2.0
8482,DLX2,GO:0005634,nucleus,2.0
8483,DLX2,GO:0006357,regulation of transcription by RNA polymerase II,2.0
8484,DLX2,GO:0007219,Notch signaling pathway,2.0
8485,DLX2,GO:0007420,brain development,2.0
8486,DLX2,GO:0009790,embryo development,2.0
8487,DLX2,GO:0009954,proximal/distal pattern formation,2.0
8488,DLX2,GO:0014016,neuroblast differentiation,2.0
8489,DLX2,GO:0021544,subpallium development,2.0
8490,DLX2,GO:0021766,hippocampus development,2.0
8491,DLX2,GO:0021772,olfactory bulb development,2.0
8492,DLX2,GO:0021879,forebrain neuron differentiation,2.0
8493,DLX2,GO:0021893,cerebral cortex GABAergic interneuron fate commitment,2.0
8494,DLX2,GO:0030154,cell differentiation,2.0
8495,DLX2,GO:0042475,odontogenesis of dentin-containing tooth,2.0
8496,DLX2,GO:0045597,positive regulation of cell differentiation,2.0
8497,DLX2,GO:0045746,negative regulation of Notch signaling pathway,2.0
8498,DLX2,GO:0045944,positive regulation of transcription by RNA polymerase II,2.0
8499,DLX2,GO:0046533,negative regulation of photoreceptor cell differentiation,2.0
8500,DLX2,GO:0048701,embryonic cranial skeleton morphogenesis,2.0
8501,DLX2,GO:0048709,oligodendrocyte differentiation,2.0
8502,DLX2,GO:0048715,negative regulation of oligodendrocyte differentiation,2.0
8503,DLX2,GO:0048755,branching morphogenesis of a nerve,2.0
8504,DLX2,GO:0051216,cartilage development,2.0
8505,DLX2,GO:1902871,positive regulation of amacrine cell differentiation,2.0
8506,DLX2,GO:1990837,sequence-specific double-stranded DNA binding,2.0
8507,DRD1,GO:0001588,"dopamine neurotransmitter receptor activity, coupled via Gs",2.0
8510,DRD1,GO:0001659,temperature homeostasis,2.0
8511,DRD1,GO:0001661,conditioned taste aversion,2.0
8512,DRD1,GO:0001662,behavioral fear response,2.0
8513,DRD1,GO:0001932,regulation of protein phosphorylation,2.0
8514,DRD1,GO:0001963,"synaptic transmission, dopaminergic",2.0
8515,DRD1,GO:0001975,response to amphetamine,2.0
8516,DRD1,GO:0004930,G protein-coupled receptor activity,2.0
8517,DRD1,GO:0004952,dopamine neurotransmitter receptor activity,2.0
8518,DRD1,GO:0005515,protein binding,2.0
8519,DRD1,GO:0005634,nucleus,2.0
8520,DRD1,GO:0005789,endoplasmic reticulum membrane,2.0
8521,DRD1,GO:0005886,plasma membrane,2.0
8525,DRD1,GO:0005929,cilium,2.0
8526,DRD1,GO:0006468,protein phosphorylation,2.0
8527,DRD1,GO:0006606,protein import into nucleus,2.0
8528,DRD1,GO:0007187,"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",2.0
8529,DRD1,GO:0007189,adenylate cyclase-activating G protein-coupled receptor signaling pathway,2.0
8530,DRD1,GO:0007190,activation of adenylate cyclase activity,2.0
8531,DRD1,GO:0007191,adenylate cyclase-activating dopamine receptor signaling pathway,2.0
8532,DRD1,GO:0007212,dopamine receptor signaling pathway,2.0
8533,DRD1,GO:0007416,synapse assembly,2.0
8534,DRD1,GO:0007613,memory,2.0
8535,DRD1,GO:0007617,mating behavior,2.0
8536,DRD1,GO:0007625,grooming behavior,2.0
8537,DRD1,GO:0007628,adult walking behavior,2.0
8538,DRD1,GO:0008542,visual learning,2.0
8539,DRD1,GO:0009410,response to xenobiotic stimulus,2.0
8540,DRD1,GO:0010628,positive regulation of gene expression,2.0
8541,DRD1,GO:0014002,astrocyte development,2.0
8542,DRD1,GO:0015872,dopamine transport,2.0
8543,DRD1,GO:0019226,transmission of nerve impulse,2.0
8544,DRD1,GO:0019228,neuronal action potential,2.0
8545,DRD1,GO:0021542,dentate gyrus development,2.0
8546,DRD1,GO:0021756,striatum development,2.0
8547,DRD1,GO:0021853,cerebral cortex GABAergic interneuron migration,2.0
8548,DRD1,GO:0030335,positive regulation of cell migration,2.0
8549,DRD1,GO:0030432,peristalsis,2.0
8550,DRD1,GO:0035106,operant conditioning,2.0
8551,DRD1,GO:0035240,dopamine binding,2.0
8552,DRD1,GO:0035249,"synaptic transmission, glutamatergic",2.0
8553,DRD1,GO:0042053,regulation of dopamine metabolic process,2.0
8554,DRD1,GO:0042311,vasodilation,2.0
8555,DRD1,GO:0042417,dopamine metabolic process,2.0
8556,DRD1,GO:0042711,maternal behavior,2.0
8557,DRD1,GO:0042734,presynaptic membrane,2.0
8558,DRD1,GO:0043197,dendritic spine,2.0
8559,DRD1,GO:0043268,positive regulation of potassium ion transport,2.0
8560,DRD1,GO:0045211,postsynaptic membrane,2.0
8561,DRD1,GO:0046323,glucose import,2.0
8562,DRD1,GO:0046959,habituation,2.0
8563,DRD1,GO:0046960,sensitization,2.0
8564,DRD1,GO:0048148,behavioral response to cocaine,2.0
8565,DRD1,GO:0051281,positive regulation of release of sequestered calcium ion into cytosol,2.0
8566,DRD1,GO:0051482,positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway,2.0
8567,DRD1,GO:0051584,regulation of dopamine uptake involved in synaptic transmission,2.0
8568,DRD1,GO:0051968,"positive regulation of synaptic transmission, glutamatergic",2.0
8569,DRD1,GO:0060134,prepulse inhibition,2.0
8570,DRD1,GO:0060158,phospholipase C-activating dopamine receptor signaling pathway,2.0
8571,DRD1,GO:0060170,ciliary membrane,2.0
8572,DRD1,GO:0060291,long-term synaptic potentiation,2.0
8573,DRD1,GO:0060292,long-term synaptic depression,2.0
8574,DRD1,GO:0071870,cellular response to catecholamine stimulus,2.0
8575,DRD1,GO:0071880,adenylate cyclase-activating adrenergic receptor signaling pathway,2.0
8576,DRD1,GO:0097730,non-motile cilium,2.0
8577,DRD1,GO:0098978,glutamatergic synapse,2.0
8578,DRD1,GO:0098982,GABA-ergic synapse,2.0
8579,DRD1,GO:0099010,modification of postsynaptic structure,2.0
8580,DRD1,GO:0099171,presynaptic modulation of chemical synaptic transmission,2.0
8581,DRD1,GO:1903351,cellular response to dopamine,2.0
8582,DRD1,GO:2001224,positive regulation of neuron migration,2.0
8649,ECPAS,GO:0000502,proteasome complex,2.0
8650,ECPAS,GO:0005515,protein binding,2.0
8651,ECPAS,GO:0005634,nucleus,2.0
8653,ECPAS,GO:0005654,nucleoplasm,2.0
8654,ECPAS,GO:0005737,cytoplasm,2.0
8655,ECPAS,GO:0005769,early endosome,2.0
8656,ECPAS,GO:0005770,late endosome,2.0
8657,ECPAS,GO:0005771,multivesicular body,2.0
8658,ECPAS,GO:0005783,endoplasmic reticulum,2.0
8659,ECPAS,GO:0005793,endoplasmic reticulum-Golgi intermediate compartment,2.0
8660,ECPAS,GO:0005802,trans-Golgi network,2.0
8661,ECPAS,GO:0005813,centrosome,2.0
8662,ECPAS,GO:0016020,membrane,2.0
8663,ECPAS,GO:0030134,COPII-coated ER to Golgi transport vesicle,2.0
8664,ECPAS,GO:0030139,endocytic vesicle,2.0
8665,ECPAS,GO:0030433,ubiquitin-dependent ERAD pathway,2.0
8667,ECPAS,GO:0031410,cytoplasmic vesicle,2.0
8668,ECPAS,GO:0043248,proteasome assembly,2.0
8669,ECPAS,GO:0060090,molecular adaptor activity,2.0
8670,ECPAS,GO:0070628,proteasome binding,2.0
8687,EFR3A,GO:0005829,cytosol,2.0
8688,EFR3A,GO:0005886,plasma membrane,2.0
8690,EFR3A,GO:0046854,phosphatidylinositol phosphate biosynthetic process,2.0
8691,EFR3A,GO:0072659,protein localization to plasma membrane,2.0
8693,EGR3,GO:0000785,chromatin,2.0
8694,EGR3,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,2.0
8695,EGR3,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",2.0
8697,EGR3,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",2.0
8698,EGR3,GO:0001938,positive regulation of endothelial cell proliferation,2.0
8699,EGR3,GO:0002042,cell migration involved in sprouting angiogenesis,2.0
8700,EGR3,GO:0003700,DNA-binding transcription factor activity,2.0
8701,EGR3,GO:0005654,nucleoplasm,2.0
8702,EGR3,GO:0006357,regulation of transcription by RNA polymerase II,2.0
8703,EGR3,GO:0007274,neuromuscular synaptic transmission,2.0
8704,EGR3,GO:0007422,peripheral nervous system development,2.0
8705,EGR3,GO:0007517,muscle organ development,2.0
8706,EGR3,GO:0007623,circadian rhythm,2.0
8707,EGR3,GO:0033089,positive regulation of T cell differentiation in thymus,2.0
8708,EGR3,GO:0035767,endothelial cell chemotaxis,2.0
8709,EGR3,GO:0035924,cellular response to vascular endothelial growth factor stimulus,2.0
8710,EGR3,GO:0043066,negative regulation of apoptotic process,2.0
8711,EGR3,GO:0044344,cellular response to fibroblast growth factor stimulus,2.0
8712,EGR3,GO:0045202,synapse,2.0
8713,EGR3,GO:0045586,regulation of gamma-delta T cell differentiation,2.0
8714,EGR3,GO:0045944,positive regulation of transcription by RNA polymerase II,2.0
8715,EGR3,GO:0046872,metal ion binding,2.0
8716,EGR3,GO:1990837,sequence-specific double-stranded DNA binding,2.0
8767,EIF4E,GO:0000082,G1/S transition of mitotic cell cycle,2.0
8768,EIF4E,GO:0000339,RNA cap binding,2.0
8769,EIF4E,GO:0000340,RNA 7-methylguanosine cap binding,2.0
8771,EIF4E,GO:0000932,P-body,2.0
8772,EIF4E,GO:0001662,behavioral fear response,2.0
8773,EIF4E,GO:0003723,RNA binding,2.0
8774,EIF4E,GO:0003743,translation initiation factor activity,2.0
8777,EIF4E,GO:0005515,protein binding,2.0
8778,EIF4E,GO:0005634,nucleus,2.0
8779,EIF4E,GO:0005737,cytoplasm,2.0
8780,EIF4E,GO:0005829,cytosol,2.0
8782,EIF4E,GO:0005845,mRNA cap binding complex,2.0
8783,EIF4E,GO:0006413,translational initiation,2.0
8784,EIF4E,GO:0006417,regulation of translation,2.0
8785,EIF4E,GO:0010494,cytoplasmic stress granule,2.0
8786,EIF4E,GO:0010507,negative regulation of autophagy,2.0
8787,EIF4E,GO:0016281,eukaryotic translation initiation factor 4F complex,2.0
8790,EIF4E,GO:0016442,RISC complex,2.0
8791,EIF4E,GO:0017148,negative regulation of translation,2.0
8792,EIF4E,GO:0019827,stem cell population maintenance,2.0
8793,EIF4E,GO:0019899,enzyme binding,2.0
8794,EIF4E,GO:0030182,neuron differentiation,2.0
8795,EIF4E,GO:0030324,lung development,2.0
8796,EIF4E,GO:0031370,eukaryotic initiation factor 4G binding,2.0
